00812,00565
00817,00614
00825,00663
00832,00711
00845,00758
00868,00799
00901,00833
00941,00859
00983,00869
01026,00865
01067,00843
01103,00811
01129,00773
01145,00728
01157,00683
01171,00638
01182,00590
00850,00522
00877,00504
00910,00501
00943,00508
00973,00522
01047,00528
01078,00517
01110,00515
01140,00523
01162,00544
01007,00568
01006,00600
01004,00633
01002,00666
00966,00684
00982,00691
00999,00697
01016,00694
01032,00689
00886,00567
00909,00557
00933,00559
00954,00576
00931,00580
00906,00578
01055,00582
01078,00569
01103,00570
01123,00583
01103,00592
01078,00590
00923,00743
00952,00734
00978,00730
00995,00736
01012,00732
01034,00739
01058,00750
01032,00768
01009,00773
00991,00774
00973,00772
00948,00763
00934,00745
00977,00750
00994,00752
01011,00752
01046,00752
01010,00752
00993,00753
00976,00751
