00063,00146
00065,00164
00067,00182
00069,00199
00074,00215
00082,00231
00093,00243
00107,00252
00123,00256
00139,00254
00153,00247
00165,00236
00174,00222
00179,00206
00184,00190
00188,00174
00192,00157
00077,00135
00086,00129
00098,00128
00109,00131
00120,00135
00145,00137
00155,00134
00166,00133
00177,00136
00184,00143
00131,00151
00131,00163
00130,00174
00129,00186
00117,00192
00123,00195
00128,00196
00134,00196
00140,00194
00089,00151
00097,00148
00106,00149
00113,00154
00105,00156
00096,00155
00148,00156
00156,00152
00164,00152
00171,00157
00164,00159
00155,00159
00102,00212
00112,00209
00121,00208
00127,00210
00132,00209
00139,00211
00148,00215
00139,00221
00131,00222
00126,00223
00119,00222
00111,00219
00105,00213
00120,00215
00126,00216
00132,00216
00144,00215
00132,00215
00126,00215
00120,00215
