00815,00537
00817,00589
00824,00640
00829,00690
00842,00741
00863,00788
00895,00827
00935,00854
00979,00867
01026,00862
01068,00838
01104,00804
01129,00764
01148,00719
01160,00672
01174,00624
01183,00574
00847,00522
00874,00504
00908,00501
00942,00509
00973,00522
01045,00527
01079,00518
01113,00515
01145,00523
01165,00547
01007,00567
01004,00600
01002,00632
01000,00665
00964,00683
00980,00689
00997,00694
01015,00692
01031,00687
00885,00564
00907,00553
00932,00556
00954,00573
00929,00578
00903,00576
01055,00582
01080,00567
01105,00568
01125,00582
01105,00591
01079,00589
00927,00745
00951,00734
00975,00730
00992,00737
01010,00732
01031,00740
01053,00752
01030,00773
01009,00780
00990,00781
00971,00778
00947,00767
00938,00746
00974,00747
00992,00750
01010,00749
01042,00752
01010,00756
00991,00758
00973,00755
