00812,00551
00815,00604
00824,00654
00831,00703
00844,00751
00866,00794
00898,00831
00938,00856
00982,00866
01027,00863
01069,00842
01105,00809
01131,00769
01147,00723
01159,00676
01173,00629
01183,00579
00850,00521
00878,00504
00912,00502
00945,00509
00976,00523
01045,00528
01077,00517
01110,00515
01142,00523
01163,00545
01007,00568
01006,00601
01004,00633
01002,00666
00965,00684
00982,00691
00999,00697
01017,00694
01033,00690
00885,00566
00909,00557
00933,00559
00955,00575
00931,00579
00906,00577
01054,00582
01079,00569
01104,00570
01123,00583
01103,00591
01078,00589
00923,00742
00952,00734
00978,00730
00994,00736
01012,00732
01034,00739
01057,00749
01032,00767
01009,00773
00991,00774
00972,00772
00948,00763
00934,00744
00976,00749
00994,00752
01011,00751
01046,00750
01010,00751
00993,00752
00975,00750
